Animal,runno,Day,Acq Number,genotype,sex,age,age_group,Pool time,Pool Distance,NW Time,NW Distance,NE Time,NE Distance,SE Time,SE Distance,SW Time,SW Distance,NormSWTime,NormSWDist,Average Pool Speed,Average SW Speed
170206_10,N54824,Day4,4,0,M,367,old,24.8,31.168,11.4,10.914,3.6,6.981,3.5,7.8,6.2,5.473,0.25,0.175596766,1.256774194,0.882741936
170206_11,N54825,Day4,4,0,M,367,old,38.4,66.335,4.6,8.783,6.2,12.389,10.9,23.761,16.7,21.402,0.434895833,0.32263511,1.727473958,1.281556886
170206_12,N54826,Day4,4,0,M,367,old,12.3,8.259,0.6,1.573,0,0,0,0,11.6,6.686,0.943089431,0.809541107,0.671463415,0.57637931
170227_1,N54859,Day4,4,0,F,120,young,8.3,4.293,0,0,0,0,2.1,1.442,6.2,2.851,0.746987952,0.664104356,0.517228916,0.45983871
170227_2,N54860,Day4,4,0,F,120,young,28.5,40.247,0.4,1.311,9.4,19.992,0.5,2.065,18.2,16.879,0.638596491,0.419385296,1.412175439,0.927417582
170227_3,N54861,Day4,4,0,F,120,young,43.5,70.858,15.4,25.793,0,0,4.8,12.094,23.2,32.971,0.533333333,0.465310904,1.62891954,1.421163793
170227_4,N54873,Day4,4,0,F,120,young,13.5,15.24,0,0,2,1.868,4.8,8.194,6.7,5.178,0.496296296,0.33976378,1.128888889,0.772835821
170227_5,N54874,Day4,4,0,F,120,young,16.8,25.957,11.1,21.172,0,0,0,0,5.7,4.785,0.339285714,0.184343337,1.545059524,0.839473684
170227_6,N54875,Day4,4,0,M,120,young,60,98.355,6.3,9.046,4.5,8.325,23.5,40.017,25.7,40.968,0.428333333,0.416531951,1.63925,1.594085603
170227_7,N54876,Day4,4,0,M,120,young,24.6,22.483,4,5.768,0,0,2,2.655,18.6,14.06,0.756097561,0.625361384,0.913943089,0.755913979
170227_8,N54877,Day4,4,0,M,120,young,12.8,17.927,0,0,3.5,6.096,3.5,7.538,5.7,4.293,0.4453125,0.239471189,1.400546875,0.753157895
170227_9,N54879,Day4,4,0,M,120,young,11.9,6.457,3.5,1.54,0,0,0,0,8.4,4.916,0.705882353,0.761344278,0.542605042,0.585238095
170227_10,N54880,Day4,4,0,M,120,young,15.6,20.091,3.6,4.556,2.4,4.949,3.9,6.424,5.6,4.162,0.358974359,0.207157434,1.287884615,0.743214286
170313_1,N54837,Day4,4,0,F,380,old,4.5,1.213,0,0,0,0,0,0,4.5,1.213,1,1,0.269555556,0.269555556
170313_2,N54838,Day4,4,0,F,380,old,13.5,13.175,2.4,4.261,0,0,0,0,11.1,8.915,0.822222222,0.676660342,0.975925926,0.803153153
170313_3,N54843,Day4,4,0,M,380,old,45.4,7.8,43.8,7.8,0,0,0,0,1.7,0,0.037444934,0,0.171806167,0
170313_4,N54844,Day4,4,0,M,380,old,5.2,2.917,0.4,0.426,0,0,0,0,4.8,2.491,0.923076923,0.853959548,0.560961539,0.518958333
170313_5,N54856,Day4,4,0,M,380,old,11.2,8.98,0,0,0,0,2.5,2.95,8.8,6.03,0.785714286,0.671492205,0.801785714,0.685227273
170313_6,N54857,Day4,4,0,M,380,old,12.4,14.388,0.6,0.819,2.6,5.342,1.7,2.261,7.5,5.965,0.60483871,0.414581596,1.160322581,0.795333333
170313_7,N54858,Day4,4,0,M,380,old,7.7,6.424,0,0,0,0,0,0,7.7,6.424,1,1,0.834285714,0.834285714
170501_3,N54891/N54900LRspecific,Day4,4,0,M,381,old,7,6.227,2,3.703,0,0,0,0,5,2.524,0.714285714,0.40533162,0.889571429,0.5048
170501_4,N54892,Day4,4,0,F,381,old,5.6,6.424,1,2.687,0.9,1.835,0,0,3.8,1.901,0.678571429,0.295921544,1.147142857,0.500263158
170501_5,N54893,Day4,4,0,M,381,old,59,71.382,17.7,19.927,6,9.242,15.7,20.451,19.6,21.762,0.33220339,0.304866773,1.209864407,1.110306122
170501_6,N54897,Day4,4,0,M,381,old,9.3,8.718,1.7,3.474,0,0,0,0,7.6,5.244,0.817204301,0.601514109,0.937419355,0.69
170501_7,N54898,Day4,4,0,F,381,old,10.3,0,10.3,0,0,0,0,0,0,0,0,,0,
170501_8,N54899,Day4,4,0,F,381,old,23,24.613,4.4,6.162,0,0,0,0,18.6,18.452,0.808695652,0.749685126,1.070130435,0.992043011
161107_1,N54716/N54915,Day5,1,4,F,383,old,60,69.645,18.2,21.008,20.1,22.713,12.5,15.371,9.3,10.553,0.155,0.151525594,1.16075,1.134731183
161107_2,N54714/N54916,Day5,1,4,F,383,old,26.1,17.698,4,7.538,1.1,0.918,0,0,21,9.242,0.804597701,0.522205899,0.678084291,0.440095238
161107_3,N54717,Day5,1,4,F,383,old,14.6,16.223,0,0,1.7,3.54,1.8,4.064,11.2,8.62,0.767123288,0.531344388,1.111164384,0.769642857
161107_4,N54715/N54917,Day5,1,4,M,379,old,14.4,7.046,8.5,2.524,1.1,1.377,0,0,4.8,3.146,0.333333333,0.446494465,0.489305556,0.655416667
161107_5,N54718//N54721,Day5,1,4,M,379,old,15.6,21.139,6.2,11.864,0,0,0,0,9.4,9.275,0.602564103,0.438762477,1.355064103,0.986702128
161107_6,N54719,Day5,1,4,M,379,old,60,81.804,10.4,15.109,18.1,22.614,14.3,19.009,17.3,25.072,0.288333333,0.30648868,1.3634,1.449248555
161107_7,N54720,Day5,1,4,M,379,old,60,73.25,5.6,7.702,14,13.437,15.1,19.271,25.3,32.84,0.421666667,0.448327645,1.220833333,1.298023715
161107_8,N54722,Day5,1,4,M,379,old,16.3,20.549,4.6,7.341,0,0,0.7,0.787,11,12.421,0.674846626,0.604457638,1.260674847,1.129181818
